Object ID,speckle_type,Type,Пользовательский.Width,Пользовательский.NetArea,Пользовательский.Height,Пользовательский.Depth
0646f904c6b626588a881a6f81d21c8d,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
08dd97bc38404653bb5be4d57863701e,IFCFURNISHINGELEMENT,M_Dresser: 1220 x 1830 x 0610mm,1220,"6,499025025",1830,610
1040b1fefd8fff5248571156c7d0eea7,IFCFURNISHINGELEMENT,M_Counter Top: 600mm Depth,,"0,48689548",900,625
105298214f115b14d9dbaa9b07e25f66,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
15cfda84ae2253fda72737c9d7fc819d,IFCFURNISHINGELEMENT,M_Base Cabinet-Single Door: 500mm,500,"2,643487495",860,600
1647131dc460527a587c5ca146bdfff9,IFCFURNISHINGELEMENT,M_Bed-Box: 1525 x 2007mm - Queen,1525,"6,326721352",,
224c3d9b9e107ce0b90ef4a619b821fa,IFCFURNISHINGELEMENT,M_Cabinet-File 2 Drawer: 0380 x 0457mm,380,"1,010536263",734,457
29e5b55079fe041cf615c475d73490b1,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
387298ae18ac53ecf5420cf8f305cf20,IFCFURNISHINGELEMENT,M_Base Cabinet-Corner Unit-Angled: 900mm,900,"4,248611301",860,900
45303056b36cd5f2247bf82d25be7283,IFCFURNISHINGELEMENT,M_Chair-Breuer: M_Chair-Breuer,,"0,490261541",,
48fe1d7137f72f2bc8e0715e4295d656,IFCFURNISHINGELEMENT,M_Base Cabinet-Single Door: 500mm,500,"2,643487495",860,600
4dfdf907ba4ee3c9f8b35e15c03c0578,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
5dc981aa8cf2cd556dad793996984855,IFCFURNISHINGELEMENT,M_Base Cabinet-Double Door & 2 Drawer: 600mm,600,"2,994916318",860,600
5eeda4ecd6002d62d1c54dc965001498,IFCFURNISHINGELEMENT,M_Chair-Executive: M_Chair-Executive,,"0,971982922",,
609e61f35145dc5e416be22637060994,IFCFURNISHINGELEMENT,M_Desk: 1525 x 762mm,1525,"4,284918341",762,762
