Object ID,speckle_type,Пользовательский.1.Width,Пользовательский.1.NetArea,Пользовательский.1.Length,Пользовательский.1.Height
064442ca9b2f010c2400d995e0a20ae6,IFCWALLSTANDARDCASE,170,"9,048",3955,2400
2ef61ca01e5014ffebae133728e3c51f,IFCWALLSTANDARDCASE,170,"7,956",3670,2400
3ae64483d99dd61ff955fb955e84c040,IFCWALLSTANDARDCASE,170,"3,5999",2470,2400
4862cf417d5a0209d846b0785344ecf7,IFCWALLSTANDARDCASE,170,"16,5238",8840,2400
7e00b12b7fce48eb0e920a01785e2d2d,IFCWALLSTANDARDCASE,540,"22,25311104",8960,2400
83aa55f5e3a857703f232cae04188d4e,IFCWALLSTANDARDCASE,540,"20,68045902",8960,2400
8e334ef8859d495645c17b95b5f00575,IFCWALLSTANDARDCASE,540,"32,6828949",22060,2400
a68cf80c0a6c6399bc5eb59ece35b99a,IFCWALLSTANDARDCASE,170,"5,4",2435,2400
b0513e337b891e87ce86b8b9e9ac9149,IFCWALLSTANDARDCASE,170,"8,64",3955,2400
beb97f1db7d82c502bc221e68f115de5,IFCWALLSTANDARDCASE,540,"48,02109895",22060,2400
ccefc56fd167074d10406a8a509c506e,IFCWALLSTANDARDCASE,170,"9,312",3880,2400
cfe072c24dad544ed558319306dd8746,IFCWALLSTANDARDCASE,170,"16,3678",8960,2400
e85568b96d7c66c0f6b75aa4c5bee49c,IFCWALLSTANDARDCASE,170,"5,2199",3330,2400
